timestamp,T_obs,P_true,P_obs,P_pred,F_obs,R_obs,physics_residual,physics_violation,anomaly_flag,anomaly_type
06-10-2025 00:00,300.248,175.332,175.641,175.332,149.723,753.238,0.309,FALSE,0,none
06-10-2025 00:01,301.009,175.255,174.909,175.403,149.491,752.754,0.495,FALSE,0,none
06-10-2025 00:02,301.793,175.245,175.417,175.278,150.261,751.801,0.139,FALSE,0,none
06-10-2025 00:03,302.056,175.199,175.013,175.287,149.796,750.861,0.273,FALSE,0,none
06-10-2025 00:04,302.166,175.554,175.456,175.297,147.884,747.407,0.159,FALSE,0,none
06-10-2025 00:05,301.874,175.725,175.739,175.582,146.881,748.048,0.157,FALSE,0,none
06-10-2025 00:06,301.411,176.717,176.681,175.763,145.485,750.989,0.917,FALSE,0,none
06-10-2025 00:07,301.291,176.505,176.002,176.697,145.575,748.135,0.695,FALSE,0,none
06-10-2025 00:08,301.012,177.368,177.782,176.471,145.708,745.842,1.311,FALSE,0,none
06-10-2025 00:09,301.195,176.504,176.845,177.41,145.129,745.279,0.566,FALSE,0,none
06-10-2025 00:10,300.888,176.631,176.587,176.386,147.005,745.276,0.201,FALSE,0,none
06-10-2025 00:11,300.355,175.748,176.029,176.541,147.843,742.858,0.512,FALSE,0,none
06-10-2025 00:12,300.458,175.337,175.218,175.849,145.894,740.237,0.631,FALSE,0,none
06-10-2025 00:13,300.554,174.82,174.525,175.307,146.653,740.629,0.782,FALSE,0,none
06-10-2025 00:14,300.493,174.297,174.314,174.824,146.369,737.719,0.51,FALSE,0,none
06-10-2025 00:15,300.131,173.991,173.64,174.295,145.926,739.894,0.655,FALSE,0,none
06-10-2025 00:16,300.302,175.193,175.376,174.093,144.183,740.593,1.283,FALSE,0,none
06-10-2025 00:17,300.108,174.774,174.563,175.213,143.536,741.863,0.65,FALSE,0,none
06-10-2025 00:18,300.623,173.957,173.477,174.763,144.499,740.226,1.287,FALSE,0,none
06-10-2025 00:19,300.465,174.177,173.089,173.93,144.858,742.226,0.841,FALSE,0,none
06-10-2025 00:20,300.223,174.282,174.244,174.161,144.698,740.052,0.083,FALSE,0,none
06-10-2025 00:21,299.624,175.306,175.402,174.198,145.537,742.814,1.204,FALSE,0,none
06-10-2025 00:22,299.59,175.233,175.635,175.254,146.563,743.573,0.381,FALSE,0,none
06-10-2025 00:23,299.269,174.051,173.531,175.195,146.942,746.681,1.664,FALSE,0,none
06-10-2025 00:24,299.255,173.747,174.05,173.961,148.521,741.459,0.089,FALSE,0,none
06-10-2025 00:25,299.67,173.551,173.404,173.774,148.616,740.903,0.37,FALSE,0,none
06-10-2025 00:26,299.717,173.036,173.018,173.653,146.635,740.509,0.635,FALSE,0,none
06-10-2025 00:27,299.897,172.693,172.694,172.974,148.13,739.52,0.28,FALSE,0,none
06-10-2025 00:28,299.494,172.614,172.611,172.689,147.638,741.404,0.078,FALSE,0,none
06-10-2025 00:29,299.66,172.625,172.015,172.655,147.12,742.473,0.64,FALSE,0,none
06-10-2025 00:30,299.711,171.887,172.101,172.577,148.103,741.107,0.475,FALSE,0,none
06-10-2025 00:31,299.548,172.192,172.442,171.887,147.72,738.224,0.555,FALSE,0,none
06-10-2025 00:32,299.699,173.008,173.295,172.19,147.992,738.293,1.105,FALSE,0,none
06-10-2025 00:33,299.583,173.208,173.354,173.068,146.587,737.51,0.287,FALSE,0,none
06-10-2025 00:34,299.414,173.786,173.724,173.233,145.802,737.25,0.491,FALSE,0,none
06-10-2025 00:35,299.618,173.799,173.358,173.708,147.709,737.663,0.35,FALSE,0,none
06-10-2025 00:36,299.749,173.282,173.416,173.805,147.646,733.887,0.389,FALSE,0,none
06-10-2025 00:37,299.737,173.423,173.434,173.287,147.718,738.894,0.147,FALSE,0,none
06-10-2025 00:38,299.642,173.148,173.147,173.399,148.031,738.88,0.252,FALSE,0,none
06-10-2025 00:39,299.06,172.492,172.624,173.047,149.184,740.44,0.423,FALSE,0,none
06-10-2025 00:40,299.46,172.536,172.523,172.575,148.278,743.293,0.053,FALSE,0,none
06-10-2025 00:41,298.762,172.87,172.736,172.459,148.874,747.708,0.277,FALSE,0,none
06-10-2025 00:42,298.273,172.689,172.335,172.859,148.313,747.919,0.524,FALSE,0,none
06-10-2025 00:43,298.03,173.717,173.715,172.747,146.771,748.066,0.968,FALSE,0,none
06-10-2025 00:44,297.508,174.122,174.564,173.647,147.261,746.237,0.917,FALSE,0,none
06-10-2025 00:45,298.296,173.948,173.618,174.222,146.491,745.612,0.605,FALSE,0,none
06-10-2025 00:46,298.711,173.754,174.055,174.043,145.278,746.088,0.012,FALSE,0,none
06-10-2025 00:47,299.371,174.959,175.174,173.887,143.694,746.477,1.287,FALSE,0,none
06-10-2025 00:48,299.504,174.756,174.243,174.924,144.507,744.021,0.682,FALSE,0,none
06-10-2025 00:49,298.846,174.86,175.042,174.677,145.057,744.645,0.365,FALSE,0,none
06-10-2025 00:50,298.977,175.06,175.065,174.849,145.428,743.312,0.216,FALSE,0,none
06-10-2025 00:51,299.099,174.189,174.164,175.051,145.744,741.916,0.887,FALSE,0,none
06-10-2025 00:52,300.036,173.379,173.978,174.234,146.239,739.574,0.257,FALSE,0,none
06-10-2025 00:53,300.364,173.884,174.167,173.456,145.283,741.2,0.711,FALSE,0,none
06-10-2025 00:54,300.942,173.451,173.172,173.974,144.486,743.171,0.802,FALSE,0,none
06-10-2025 00:55,301.143,173.438,173.63,173.432,145.336,746.999,0.198,FALSE,0,none
06-10-2025 00:56,301.015,172.706,172.431,173.461,144.605,745.235,1.03,FALSE,0,none
06-10-2025 00:57,300.602,172.512,172.25,172.677,144.555,745.941,0.427,FALSE,0,none
06-10-2025 00:58,300.737,172.587,172.636,172.481,145.409,745.987,0.155,FALSE,0,none
06-10-2025 00:59,301.46,171.638,171.99,172.668,145.168,751.448,0.678,FALSE,0,none
06-10-2025 01:00,301.766,171.727,171.281,171.7,144.335,749.299,0.419,FALSE,0,none
06-10-2025 01:01,301.998,171.813,171.662,171.758,144.14,750.73,0.097,FALSE,0,none
06-10-2025 01:02,302.225,171.595,171.948,171.83,144.096,749.033,0.118,FALSE,0,none
06-10-2025 01:03,301.456,171.008,170.726,171.558,143.679,750.751,0.832,FALSE,0,none
06-10-2025 01:04,301.556,170.889,170.899,171.077,142.465,751.093,0.179,FALSE,0,none
06-10-2025 01:05,301.741,170.759,170.666,170.947,141.619,751.395,0.281,FALSE,0,none
06-10-2025 01:06,301.761,171.78,172.163,170.817,140.518,752.104,1.345,FALSE,0,none
06-10-2025 01:07,302.033,171.689,171.784,171.749,141.648,754.201,0.035,FALSE,0,none
06-10-2025 01:08,301.334,171.448,171.358,171.68,140.752,755.21,0.322,FALSE,0,none
06-10-2025 01:09,301.584,171.393,171.142,171.455,141.313,762.889,0.312,FALSE,0,none
06-10-2025 01:10,301.862,171.572,172.204,171.36,142.492,764.733,0.843,FALSE,0,none
06-10-2025 01:11,302.178,171.808,171.785,171.614,142.215,766.177,0.171,FALSE,0,none
06-10-2025 01:12,301.781,172.009,171.941,171.784,142.017,765.126,0.157,FALSE,0,none
06-10-2025 01:13,301.813,172.187,172.337,171.886,144.371,761.315,0.451,FALSE,0,none
06-10-2025 01:14,302.147,171.561,171.777,172.291,142.787,760.315,0.514,FALSE,0,none
06-10-2025 01:15,302.681,171.853,171.433,171.594,142.887,758.108,0.162,FALSE,0,none
06-10-2025 01:16,302.31,171.876,171.819,171.784,143.602,756.607,0.035,FALSE,0,none
06-10-2025 01:17,302.406,171.566,171.244,171.877,143.68,755.27,0.633,FALSE,0,none
06-10-2025 01:18,303.466,171.663,171.493,171.609,144.345,751.194,0.116,FALSE,0,none
06-10-2025 01:19,303.542,171.649,172.031,171.704,143.712,752.893,0.327,FALSE,0,none
06-10-2025 01:20,303.128,171.611,171.957,171.622,143.629,753.888,0.336,FALSE,0,none
06-10-2025 01:21,303.545,171.789,171.966,171.702,142.46,753.2,0.264,FALSE,0,none
06-10-2025 01:22,303.29,170.967,170.546,171.806,141.845,756.715,1.261,FALSE,0,none
06-10-2025 01:23,303.476,171.178,171.234,171.047,140.624,758.517,0.188,FALSE,0,none
06-10-2025 01:24,304.52,171.527,171.354,171.202,141.704,755.435,0.153,FALSE,0,none
06-10-2025 01:25,304.255,171.559,171.857,171.437,143.012,753.993,0.419,FALSE,0,none
06-10-2025 01:26,304.456,171.168,170.999,171.531,143.822,752.119,0.532,FALSE,0,none
06-10-2025 01:27,304.404,170.889,170.641,171.321,140.611,750.06,0.68,FALSE,0,none
06-10-2025 01:28,304.255,171.035,171.143,170.944,139.41,753.324,0.199,FALSE,0,none
06-10-2025 01:29,303.519,171.397,171.761,170.996,139.023,753.569,0.766,FALSE,0,none
06-10-2025 01:30,304.222,172.182,172.502,171.527,137.642,755.878,0.975,FALSE,0,none
06-10-2025 01:31,304.206,172.611,173,172.228,136.723,756.772,0.772,FALSE,0,none
06-10-2025 01:32,304.285,172.9,173.292,172.644,136.189,756.878,0.648,FALSE,0,none
06-10-2025 01:33,304.071,171.605,172.094,172.876,136.371,758.168,0.781,FALSE,0,none
06-10-2025 01:34,304.843,171.427,171.481,171.733,135.202,762.393,0.253,FALSE,0,none
06-10-2025 01:35,303.843,171.509,171.376,171.353,135.124,763.508,0.023,FALSE,0,none
06-10-2025 01:36,303.964,171.205,170.958,171.545,134.576,763.024,0.588,FALSE,0,none
06-10-2025 01:37,303.698,170.748,171.106,171.213,134.063,764.658,0.107,FALSE,0,none
06-10-2025 01:38,303.858,170.263,170.212,170.795,133.45,766.384,0.583,FALSE,0,none
06-10-2025 01:39,303.992,171.114,170.841,170.232,134.346,767.561,0.609,FALSE,0,none
06-10-2025 01:40,303.558,170.456,170.613,171.106,133.864,768.968,0.493,FALSE,0,none
06-10-2025 01:41,303.845,170.371,169.936,170.477,133.924,769.108,0.54,FALSE,0,none
06-10-2025 01:42,304.465,170.084,169.76,170.448,133.412,770.107,0.688,FALSE,0,none
06-10-2025 01:43,304.341,169.653,169.718,170.085,133.278,772.204,0.367,FALSE,0,none
06-10-2025 01:44,304.732,169.85,170.115,169.644,134.175,774.704,0.47,FALSE,0,none
06-10-2025 01:45,304.719,170.221,170.122,169.809,134.936,773.96,0.312,FALSE,0,none
06-10-2025 01:46,304.858,169.646,169.577,170.235,134.881,774.034,0.658,FALSE,0,none
06-10-2025 01:47,305.131,169.74,169.976,169.714,134.138,778.098,0.262,FALSE,0,none
